index,Suburb,Rooms,Type,Price,Method,Distance,Postcode,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,avg_dayly_price,avg_weekly_price,avg_montly_price
0,Abbotsford,2,h,1480000.0,S,2.5,3067.0,1.0,1.0,202.0,,,Yarra,-37.7996,144.9984,Northern Metropolitan,130.62403100775194,605.1521739130435,2187.032258064516
1,Abbotsford,2,h,1035000.0,S,2.5,3067.0,1.0,0.0,156.0,79.0,1900.0,Yarra,-37.8079,144.9934,Northern Metropolitan,130.62403100775194,605.1521739130435,2187.032258064516
2,Abbotsford,3,h,1465000.0,SP,2.5,3067.0,2.0,0.0,134.0,150.0,1900.0,Yarra,-37.8093,144.9944,Northern Metropolitan,130.62403100775194,605.1521739130435,2187.032258064516
3,Abbotsford,3,h,850000.0,PI,2.5,3067.0,2.0,1.0,94.0,,,Yarra,-37.7969,144.9969,Northern Metropolitan,130.62403100775194,605.1521739130435,2187.032258064516
4,Abbotsford,4,h,1600000.0,VB,2.5,3067.0,1.0,2.0,120.0,142.0,2014.0,Yarra,-37.8072,144.9941,Northern Metropolitan,130.62403100775194,605.1521739130435,2187.032258064516
5,Abbotsford,2,h,941000.0,S,2.5,3067.0,1.0,0.0,181.0,,,Yarra,-37.8041,144.9953,Northern Metropolitan,130.62403100775194,605.1521739130435,2187.032258064516
6,Abbotsford,3,h,1876000.0,S,2.5,3067.0,2.0,0.0,245.0,210.0,1910.0,Yarra,-37.8024,144.9993,Northern Metropolitan,130.62403100775194,605.1521739130435,2187.032258064516
8,Abbotsford,1,u,300000.0,S,2.5,3067.0,1.0,1.0,0.0,,,Yarra,-37.8008,144.9973,Northern Metropolitan,130.62403100775194,605.1521739130435,2187.032258064516
9,Abbotsford,2,h,1097000.0,S,2.5,3067.0,1.0,2.0,220.0,75.0,1900.0,Yarra,-37.801,144.9989,Northern Metropolitan,130.62403100775194,605.1521739130435,2187.032258064516
10,Abbotsford,2,u,700000.0,VB,2.5,3067.0,2.0,1.0,0.0,,,Yarra,-37.811,145.0067,Northern Metropolitan,130.62403100775194,605.1521739130435,2187.032258064516
11,Abbotsford,3,h,1350000.0,VB,2.5,3067.0,2.0,2.0,214.0,190.0,2005.0,Yarra,-37.8085,144.9964,Northern Metropolitan,130.62403100775194,605.1521739130435,2187.032258064516
12,Abbotsford,2,u,750000.0,S,2.5,3067.0,2.0,1.0,0.0,94.0,2009.0,Yarra,-37.8078,144.9965,Northern Metropolitan,130.62403100775194,605.1521739130435,2187.032258064516
13,Abbotsford,2,h,1172500.0,S,2.5,3067.0,1.0,1.0,195.0,,,Yarra,-37.8084,144.9973,Northern Metropolitan,130.62403100775194,605.1521739130435,2187.032258064516
14,Abbotsford,1,u,441000.0,SP,2.5,3067.0,1.0,1.0,0.0,,,Yarra,-37.8016,144.9988,Northern Metropolitan,130.62403100775194,605.1521739130435,2187.032258064516
18,Abbotsford,3,h,955000.0,S,2.5,3067.0,1.0,0.0,183.0,,,Yarra,-37.8022,144.9975,Northern Metropolitan,130.62403100775194,605.1521739130435,2187.032258064516
19,Abbotsford,2,h,890000.0,S,2.5,3067.0,1.0,1.0,150.0,73.0,1985.0,Yarra,-37.8011,145.0004,Northern Metropolitan,130.62403100775194,605.1521739130435,2187.032258064516
20,Abbotsford,4,h,1330000.0,PI,2.5,3067.0,2.0,2.0,780.0,135.0,1900.0,Yarra,-37.8073,144.9952,Northern Metropolitan,130.62403100775194,605.1521739130435,2187.032258064516
21,Abbotsford,3,t,900000.0,S,2.5,3067.0,2.0,2.0,0.0,,2010.0,Yarra,-37.8093,144.9959,Northern Metropolitan,130.62403100775194,605.1521739130435,2187.032258064516
22,Abbotsford,3,u,1090000.0,S,2.5,3067.0,2.0,2.0,4290.0,27.0,,Yarra,-37.8078,144.9965,Northern Metropolitan,130.62403100775194,605.1521739130435,2187.032258064516
